OBJECTID,observation_id,taxon_id,taxon_category_name,observer_id,observed_on,observed_on_month,observed_on_year,modified_on,quality_grade,latitude,longitude,uncertainty_m,taxon_genus_name,taxon_species_name,taxon_infraspecific_name,scientific_name,common_name,reference_url,SHAPE,long,lat,center_x,center_y,taxon_class_name_x,taxon_class_name_y
434649,148707,566549,Mammalia,edwardrooks,2012-11-10T14:09:47-08:00,11,2012,2025-01-28T21:26:00+00:00,research,38.0296924293,-122.9140680643,24983,Cervus,canadensis,nannodes,Cervus canadensis nannodes,Tule Elk,https://www.inaturalist.org/observations/148707,"{'x': -122.91406806399999, 'y': 38.02969242900008, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91406806399999,38.02969242900008,-122.90530061399994,38.027592301000055,Mammalia,Mammalia
2801401,1406061,60982,Plantae,direbecca,2015-04-18T00:00:00+00:00,4,2015,2023-07-08T11:39:25+00:00,research,38.030598,-122.917013,52,Cakile,maritima,,Cakile maritima,European Searocket,https://www.inaturalist.org/observations/1406061,"{'x': -122.91701299999994, 'y': 38.030598000000055, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91701299999994,38.030598000000055,-122.90530061399994,38.027592301000055,Magnoliopsida,Magnoliopsida
436136,148817,63697,Other,edwardrooks,2012-11-10T11:17:15-08:00,11,2012,2020-05-10T02:32:58+00:00,research,38.0302217,-122.9141816,3715,Metacarcinus,magister,,Metacarcinus magister,Dungeness Crab,https://www.inaturalist.org/observations/148817,"{'x': -122.91418159999995, 'y': 38.03022170000003, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91418159999995,38.03022170000003,-122.90530061399994,38.027592301000055,Malacostraca,Malacostraca
435014,148723,3849,Aves,edwardrooks,2012-11-10T11:46:53-08:00,11,2012,2023-07-14T20:50:57+00:00,research,38.0302217,-122.9141816,3715,Calidris,alba,,Calidris alba,Sanderling,https://www.inaturalist.org/observations/148723,"{'x': -122.91418159999995, 'y': 38.03022170000003, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91418159999995,38.03022170000003,-122.90530061399994,38.027592301000055,Aves,Aves
434782,148715,78931,Plantae,edwardrooks,2012-11-10T13:35:52-08:00,11,2012,2023-07-06T15:16:05+00:00,research,38.0302217,-122.9141816,3715,Salicornia,pacifica,,Salicornia pacifica,Pacific Swampfire,https://www.inaturalist.org/observations/148715,"{'x': -122.91418159999995, 'y': 38.03022170000003, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91418159999995,38.03022170000003,-122.90530061399994,38.027592301000055,Magnoliopsida,Magnoliopsida
441265,148605,8010,Aves,edwardrooks,2012-11-10T14:10:29-08:00,11,2012,2023-07-06T15:18:09+00:00,research,38.0302332922,-122.9090040537,,Corvus,corax,,Corvus corax,Common Raven,https://www.inaturalist.org/observations/148605,"{'x': -122.90900405399998, 'y': 38.03023329200005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.90900405399998,38.03023329200005,-122.90530061399994,38.027592301000055,Aves,Aves
1558426,295483609,1273095,Arachnida,ianttaylor,2025-07-04T17:35:44-07:00,7,2025,2025-07-06T03:04:59+00:00,research,38.0359583333,-122.9268633333,7,Dermacentor,similis,,Dermacentor similis,Western Dog Tick,https://www.inaturalist.org/observations/295483609,"{'x': -122.92686333299997, 'y': 38.03595833300005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.92686333299997,38.03595833300005,-122.90530061399994,38.027592301000055,Arachnida,Arachnida
441247,148602,6933,Aves,edwardrooks,2012-11-10T14:13:41-08:00,11,2012,2023-07-06T15:18:01+00:00,research,38.02980243,-122.9019210467,,Anas,acuta,,Anas acuta,Northern Pintail,https://www.inaturalist.org/observations/148602,"{'x': -122.90192104699997, 'y': 38.029802430000075, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.90192104699997,38.029802430000075,-122.90530061399994,38.027592301000055,Aves,Aves
2800947,1404978,76553,Plantae,direbecca,2015-04-18T00:00:00+00:00,4,2015,2023-07-08T11:37:50+00:00,research,38.029383,-122.897518,,Cuscuta,pacifica,,Cuscuta pacifica,Goldenthread,https://www.inaturalist.org/observations/1404978,"{'x': -122.89751799999999, 'y': 38.02938300000005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.89751799999999,38.02938300000005,-122.90530061399994,38.027592301000055,Magnoliopsida,Magnoliopsida
3193223,85043181,71077,Plantae,nancyfox,2021-06-28T09:56:00-07:00,6,2021,2023-11-03T08:24:18+00:00,research,38.0225339595,-122.9370450476,28300,Horkelia,marinensis,,Horkelia marinensis,Point Reyes horkelia,https://www.inaturalist.org/observations/85043181,"{'x': -122.93704504799996, 'y': 38.02253395900004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.93704504799996,38.02253395900004,-122.90530061399994,38.027592301000055,Magnoliopsida,Magnoliopsida
1739375,126886931,9176,Aves,kemper,2022-07-18T12:00:00-07:00,7,2022,2022-07-18T23:48:46+00:00,research,38.032695,-122.9374133333,,Zonotrichia,leucophrys,,Zonotrichia leucophrys,White-crowned Sparrow,https://www.inaturalist.org/observations/126886931,"{'x': -122.937413333, 'y': 38.03269500000005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.937413333,38.03269500000005,-122.90530061399994,38.027592301000055,Aves,Aves
1739372,126886929,71135,Plantae,kemper,2022-07-18T12:00:00-07:00,7,2022,2022-08-19T04:48:58+00:00,research,38.0327366667,-122.9375766667,,Ambrosia,chamissonis,,Ambrosia chamissonis,silver burr ragweed,https://www.inaturalist.org/observations/126886929,"{'x': -122.93757666699997, 'y': 38.03273666700005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.93757666699997,38.03273666700005,-122.90530061399994,38.027592301000055,Magnoliopsida,Magnoliopsida
1739339,126886923,61992,Plantae,kemper,2022-07-18T11:59:00-07:00,7,2022,2022-08-19T05:02:51+00:00,research,38.0321183333,-122.938965,,Grindelia,stricta,,Grindelia stricta,Oregon Gumplant,https://www.inaturalist.org/observations/126886923,"{'x': -122.93896499999994, 'y': 38.03211833300003, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.93896499999994,38.03211833300003,-122.90530061399994,38.027592301000055,Magnoliopsida,Magnoliopsida
2553922,834896,48441,Plantae,chrispincetich,2014-07-25T09:29:17-07:00,7,2014,2020-09-27T23:11:05+00:00,research,38.036096,-122.941362,76,Gaultheria,shallon,,Gaultheria shallon,salal,https://www.inaturalist.org/observations/834896,"{'x': -122.94136199999997, 'y': 38.03609600000004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.94136199999997,38.03609600000004,-122.90530061399994,38.027592301000055,Magnoliopsida,Magnoliopsida
562833,190344,144491,Aves,dreierj,1985-10-10T00:00:00+00:00,10,1985,2017-10-03T06:30:26+00:00,research,38.0264587115,-122.8896331787,,Tringa,semipalmata,,Tringa semipalmata,Willet,https://www.inaturalist.org/observations/190344,"{'x': -122.88963317899999, 'y': 38.02645871200008, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.88963317899999,38.02645871200008,-122.90530061399994,38.027592301000055,Aves,Aves
2768910,1310997,132718,Insecta,claudiavieira,2015-03-21T16:11:34-07:00,3,2015,2015-04-18T16:43:28+00:00,research,38.03450706,-122.94348133,7,Scathophaga,stercoraria,,Scathophaga stercoraria,Yellow Dung Fly,https://www.inaturalist.org/observations/1310997,"{'x': -122.94348132999994, 'y': 38.03450706000007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.94348132999994,38.03450706000007,-122.90530061399994,38.027592301000055,Insecta,Insecta
2768909,1310996,50043,Plantae,claudiavieira,2015-03-21T15:13:01-07:00,3,2015,2015-03-26T02:57:55+00:00,research,38.03422028,-122.94380647,6,Castilleja,affinis,affinis,Castilleja affinis affinis,Coast Indian Paintbrush,https://www.inaturalist.org/observations/1310996,"{'x': -122.94380646999997, 'y': 38.034220280000056, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.94380646999997,38.034220280000056,-122.90530061399994,38.027592301000055,Magnoliopsida,Magnoliopsida
715700,227231,47414,Other,chriswbrown,2013-04-01T12:26:30-07:00,4,2013,2019-04-23T19:10:05+00:00,research,38.02604,-122.888562,5,Emerita,analoga,,Emerita analoga,Pacific Sand Crab,https://www.inaturalist.org/observations/227231,"{'x': -122.88856199999998, 'y': 38.02604000000008, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.88856199999998,38.02604000000008,-122.90530061399994,38.027592301000055,Malacostraca,Malacostraca
