OBJECTID,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_infraspecific_name,taxon_category_name,scientific_name,common_name,taxon_rank,SHAPE,long,lat,center_x,center_y
125041937,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,americanus,,Aves,Numenius americanus,Long-billed Curlew,species,"{'x': -122.91793837499995, 'y': 38.02817456500003, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91793837499995,38.02817456500003,-122.90530061399994,38.02782775950004
3450341,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cepphus,columba,,Aves,Cepphus columba,Pigeon Guillemot,species,"{'x': -122.91962237899997, 'y': 38.02688711800005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91962237899997,38.02688711800005,-122.90530061399994,38.02782775950004
44666776,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca,vitulina,,Mammalia,Phoca vitulina,Harbor Seal,species,"{'x': -122.91521072399996, 'y': 38.027810921000025, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91521072399996,38.027810921000025,-122.90530061399994,38.02782775950004
19654252,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,americanus,,Aves,Numenius americanus,Long-billed Curlew,species,"{'x': -122.91620706399999, 'y': 38.02832937000005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91620706399999,38.02832937000005,-122.90530061399994,38.02782775950004
111471848,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,fedoa,,Aves,Limosa fedoa,Marbled Godwit,species,"{'x': -122.91780962899998, 'y': 38.02834358800004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91780962899998,38.02834358800004,-122.90530061399994,38.02782775950004
57141892,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,"{'x': -122.91701107499995, 'y': 38.028500088000044, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91701107499995,38.028500088000044,-122.90530061399994,38.02782775950004
112015804,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,hudsonicus,,Aves,Numenius hudsonicus,Hudsonian Whimbrel,species,"{'x': -122.91829657899996, 'y': 38.02827261500005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91829657899996,38.02827261500005,-122.90530061399994,38.02782775950004
87980267,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Chrysaora,fuscescens,,Other,Chrysaora fuscescens,Pacific Sea Nettle,species,"{'x': -122.91597599999994, 'y': 38.02837400000004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91597599999994,38.02837400000004,-122.90530061399994,38.02782775950004
64760631,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,californianus,,Mollusca,Mytilus californianus,California Mussel,species,"{'x': -122.91765555599994, 'y': 38.028494444000046, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91765555599994,38.028494444000046,-122.90530061399994,38.02782775950004
63314669,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,pyrifera,,Other,Macrocystis pyrifera,Giant Kelp,species,"{'x': -122.91627751599998, 'y': 38.02848253900004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91627751599998,38.02848253900004,-122.90530061399994,38.02782775950004
