OBJECTID,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_infraspecific_name,taxon_category_name,scientific_name,common_name,taxon_rank,long,lat,center_x,center_y
1,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,herodias,,Aves,Ardea herodias,Great Blue Heron,species,-122.96700499999997,38.04081000000008,-122.89482290799998,38.01598558650005
2,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,californica,,Plantae,Aesculus californica,California buckeye,species,-122.85762833299998,38.042819500000064,-122.89482290799998,38.01598558650005
3,Animalia,Chordata,Aves,Accipitriformes,Pandionidae,Pandion,haliaetus,,Aves,Pandion haliaetus,Osprey,species,-122.96348571799996,38.026409149000074,-122.89482290799998,38.01598558650005
4,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,canadensis,,Mammalia,Cervus canadensis,Elk,species,-122.94393753899999,38.04308695000003,-122.89482290799998,38.01598558650005
5,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Calochortus,tolmiei,,Plantae,Calochortus tolmiei,Tolmie's pussy ears,species,-122.96649166699996,37.99101666700005,-122.89482290799998,38.01598558650005
6,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,hemionus,columbianus,Mammalia,Odocoileus hemionus columbianus,Black-tailed Deer,subspecies,-122.98627999999997,38.02565000000004,-122.89482290799998,38.01598558650005
7,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,-122.97345832999997,37.993021670000076,-122.89482290799998,38.01598558650005
8,Animalia,Chordata,Aves,Cathartiformes,Cathartidae,Cathartes,aura,,Aves,Cathartes aura,Turkey Vulture,species,-122.88422999999995,38.030752833000065,-122.89482290799998,38.01598558650005
9,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,-122.98271665199997,38.00071171600007,-122.89482290799998,38.01598558650005
10,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,alba,,Aves,Calidris alba,Sanderling,species,-122.89921451199996,38.02742465500006,-122.89482290799998,38.01598558650005
11,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,dilatata,leucostachys,Plantae,Platanthera dilatata leucostachys,Sierra Bog Orchid,variety,-122.823611546,38.02367871400003,-122.89482290799998,38.01598558650005
